ADRESSEID;TYPE;KOMMUNENR;ADRESSEKODE;ADRESSENAVN;KORTADRESSENAVN;NR;BOKSTAV;GARDSNR;BRUKSNR;FESTENR;SEKSJONSNR;UNDERNR;KORTADRESSETILLEGGSNAVN;TILLEGGSNAVNKILDEKODE;TILLEGGSNAVNKILDENAVN;KOORDINATSYSTEMKODE;NORD;OST;GRUNNKRETSNR;GRUNNKRETSNAVN;KIRKESOGNNR;KIRKESOGNNAVN;TETTSTEDNR;TETTSTEDNAVN;VALGKRETSNR;VALGKRETSNAVN;POSTNUMMER;POSTNUMMEROMRADE
292203343;Vegadresse;2111;1238;Vei 238;Vei 238;41;B;22;286;0;0;;;;;23;8683012.0;515244.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203340;Vegadresse;2111;1238;Vei 238;Vei 238;45;A;22;307;0;0;;;;;23;8683001.0;515259.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203341;Vegadresse;2111;1238;Vei 238;Vei 238;43;B;22;131;0;0;;;;;23;8683005.0;515254.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203330;Vegadresse;2111;1608;Vei 608;Vei 608;2;;22;491;0;0;;;;;23;8683516.0;514482.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203331;Vegadresse;2111;1604;Vei 604;Vei 604;3;;22;259;0;0;;;;;23;8683466.0;514579.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203328;Vegadresse;2111;1610;Vei 610;Vei 610;6;;22;437;0;0;;;;;23;8683737.0;514230.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203329;Vegadresse;2111;1608;Vei 608;Vei 608;4;;22;430;0;0;;;;;23;8683535.0;514516.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203334;Vegadresse;2111;1236;Vei 236;Vei 236;55;A;22;151;0;0;;;;;23;8682939.0;515266.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203335;Vegadresse;2111;1236;Vei 236;Vei 236;51;B;22;128;0;0;;;;;23;8682948.0;515250.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203332;Vegadresse;2111;1100;Vei 100;Vei 100;13;;22;140;0;0;;;;;23;8680750.0;513404.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203333;Vegadresse;2111;1236;Vei 236;Vei 236;55;B;22;152;0;0;;;;;23;8682936.0;515271.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203354;Vegadresse;2111;1622;Vei 622;Vei 622;1;;22;496;0;0;;;;;23;8685606.0;511958.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203355;Vegadresse;2111;1617;Vei 617;Vei 617;1;;22;670;0;0;;;;;23;8685532.0;511886.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203352;Vegadresse;2111;1401;Vei 401;Vei 401;14;;22;401;0;0;;;;;23;8683391.0;514867.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203353;Vegadresse;2111;1102;Vei 102;Vei 102;1;;22;132;0;0;;;;;23;8681987.0;514029.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203358;Vegadresse;2111;1238;Vei 238;Vei 238;36;A;22;142;0;0;;;;;23;8683044.0;515131.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203359;Vegadresse;2111;1238;Vei 238;Vei 238;38;;22;143;0;0;;;;;23;8683039.0;515139.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203356;Vegadresse;2111;1401;Vei 401;Vei 401;30;;22;253;0;0;;;;;23;8683387.0;514983.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203357;Vegadresse;2111;1238;Vei 238;Vei 238;34;;22;287;0;0;;;;;23;8683049.0;515124.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203346;Vegadresse;2111;1238;Vei 238;Vei 238;39;A;22;130;0;0;;;;;23;8683023.0;515229.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203347;Vegadresse;2111;1601;Vei 601;Vei 601;2;B;22;415;0;0;;;;;23;8683409.0;514541.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203344;Vegadresse;2111;1238;Vei 238;Vei 238;41;A;22;141;0;0;;;;;23;8683016.0;515239.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
